"Bodemgebruik; uitgebreide gebruiksvorm, per gemeente"
""
"";"";"";"Perioden"
"Maastricht";"||Totaal bebouwd terrein";"ha";"2245"
"Maastricht";"||Totaal semi-bebouwd terrein";"ha";"507"
"Maastricht";"Bouwterrein";"ha";"336"
"Maastricht";"||Totaal recreatieterrein";"ha";"542"
"Maastricht";"||Totaal agrarisch terrein";"ha";"1799"
"Maastricht";"||Totaal  bos en open natuurlijk terrein";"ha";"201"
"Maastricht";"||Totaal binnenwater";"ha";"414"
"Maastricht";"||Totaal buitenwater";"ha";""
"Made";"Totale oppervlakte";"ha";""
"Made";"Totaal verkeersterrein";"ha";""
"Made";"||Totaal bebouwd terrein";"ha";""
"Made";"||Totaal semi-bebouwd terrein";"ha";""
"Made";"Bouwterrein";"ha";""
"Made";"||Totaal recreatieterrein";"ha";""
"Made";"||Totaal agrarisch terrein";"ha";""
"Made";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Made";"||Totaal binnenwater";"ha";""
"Made";"||Totaal buitenwater";"ha";""
"Made en Drimmelen";"Totale oppervlakte";"ha";""
"Made en Drimmelen";"Totaal verkeersterrein";"ha";""
"Made en Drimmelen";"||Totaal bebouwd terrein";"ha";""
"Made en Drimmelen";"||Totaal semi-bebouwd terrein";"ha";""
"Made en Drimmelen";"Bouwterrein";"ha";""
"Made en Drimmelen";"||Totaal recreatieterrein";"ha";""
"Made en Drimmelen";"||Totaal agrarisch terrein";"ha";""
"Made en Drimmelen";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Made en Drimmelen";"||Totaal binnenwater";"ha";""
"Made en Drimmelen";"||Totaal buitenwater";"ha";""
"Margraten";"Totale oppervlakte";"ha";""
"Margraten";"Totaal verkeersterrein";"ha";""
"Margraten";"||Totaal bebouwd terrein";"ha";""
"Margraten";"||Totaal semi-bebouwd terrein";"ha";""
"Margraten";"Bouwterrein";"ha";""
"Margraten";"||Totaal recreatieterrein";"ha";""
"Margraten";"||Totaal agrarisch terrein";"ha";""
"Margraten";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Margraten";"||Totaal binnenwater";"ha";""
"Margraten";"||Totaal buitenwater";"ha";""
"Mariekerke";"Totale oppervlakte";"ha";""
"Mariekerke";"Totaal verkeersterrein";"ha";""
"Mariekerke";"||Totaal bebouwd terrein";"ha";""
"Mariekerke";"||Totaal semi-bebouwd terrein";"ha";""
"Mariekerke";"Bouwterrein";"ha";""
"Mariekerke";"||Totaal recreatieterrein";"ha";""
"Mariekerke";"||Totaal agrarisch terrein";"ha";""
"Mariekerke";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Mariekerke";"||Totaal binnenwater";"ha";""
"Mariekerke";"||Totaal buitenwater";"ha";""
"Markelo";"Totale oppervlakte";"ha";""
"Markelo";"Totaal verkeersterrein";"ha";""
"Markelo";"||Totaal bebouwd terrein";"ha";""
"Markelo";"||Totaal semi-bebouwd terrein";"ha";""
"Markelo";"Bouwterrein";"ha";""
"Markelo";"||Totaal recreatieterrein";"ha";""
"Markelo";"||Totaal agrarisch terrein";"ha";""
"Markelo";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Markelo";"||Totaal binnenwater";"ha";""
"Markelo";"||Totaal buitenwater";"ha";""
"De Marne";"Totale oppervlakte";"ha";"24033"
"De Marne";"Totaal verkeersterrein";"ha";"291"
"De Marne";"||Totaal bebouwd terrein";"ha";"490"
"De Marne";"||Totaal semi-bebouwd terrein";"ha";"101"
"De Marne";"Bouwterrein";"ha";"15"
"De Marne";"||Totaal recreatieterrein";"ha";"211"
"De Marne";"||Totaal agrarisch terrein";"ha";"12126"
"De Marne";"||Totaal  bos en open natuurlijk terrein";"ha";"3849"
"De Marne";"||Totaal binnenwater";"ha";"1483"
"De Marne";"||Totaal buitenwater";"ha";"5482"
"Marum";"Totale oppervlakte";"ha";"6489"
"Marum";"Totaal verkeersterrein";"ha";"219"
"Marum";"||Totaal bebouwd terrein";"ha";"308"
"Marum";"||Totaal semi-bebouwd terrein";"ha";"33"
"Marum";"Bouwterrein";"ha";"22"
"Marum";"||Totaal recreatieterrein";"ha";"59"
"Marum";"||Totaal agrarisch terrein";"ha";"5661"
"Marum";"||Totaal  bos en open natuurlijk terrein";"ha";"157"
"Marum";"||Totaal binnenwater";"ha";"52"
"Marum";"||Totaal buitenwater";"ha";""
"Maurik";"Totale oppervlakte";"ha";""
"Maurik";"Totaal verkeersterrein";"ha";""
"Maurik";"||Totaal bebouwd terrein";"ha";""
"Maurik";"||Totaal semi-bebouwd terrein";"ha";""
"Maurik";"Bouwterrein";"ha";""
"Maurik";"||Totaal recreatieterrein";"ha";""
"Maurik";"||Totaal agrarisch terrein";"ha";""
"Maurik";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Maurik";"||Totaal binnenwater";"ha";""
"Maurik";"||Totaal buitenwater";"ha";""
"Medemblik";"Totale oppervlakte";"ha";"25756"
"Medemblik";"Totaal verkeersterrein";"ha";"400"
"Medemblik";"||Totaal bebouwd terrein";"ha";"1145"
"Medemblik";"||Totaal semi-bebouwd terrein";"ha";"158"
"Medemblik";"Bouwterrein";"ha";"121"
"Medemblik";"||Totaal recreatieterrein";"ha";"384"
"Medemblik";"||Totaal agrarisch terrein";"ha";"9922"
"Medemblik";"||Totaal  bos en open natuurlijk terrein";"ha";"133"
"Medemblik";"||Totaal binnenwater";"ha";"13615"
"Medemblik";"||Totaal buitenwater";"ha";""
"Meerlo-Wanssum";"Totale oppervlakte";"ha";""
"Meerlo-Wanssum";"Totaal verkeersterrein";"ha";""
"Meerlo-Wanssum";"||Totaal bebouwd terrein";"ha";""
"Meerlo-Wanssum";"||Totaal semi-bebouwd terrein";"ha";""
"Meerlo-Wanssum";"Bouwterrein";"ha";""
"Meerlo-Wanssum";"||Totaal recreatieterrein";"ha";""
"Meerlo-Wanssum";"||Totaal agrarisch terrein";"ha";""
"Meerlo-Wanssum";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Meerlo-Wanssum";"||Totaal binnenwater";"ha";""
"Meerlo-Wanssum";"||Totaal buitenwater";"ha";""
"Meerssen";"Totale oppervlakte";"ha";"2770"
"Meerssen";"Totaal verkeersterrein";"ha";"137"
"Meerssen";"||Totaal bebouwd terrein";"ha";"464"
"Meerssen";"||Totaal semi-bebouwd terrein";"ha";"45"
"Meerssen";"Bouwterrein";"ha";"38"
"Meerssen";"||Totaal recreatieterrein";"ha";"90"
"Meerssen";"||Totaal agrarisch terrein";"ha";"1656"
"Meerssen";"||Totaal  bos en open natuurlijk terrein";"ha";"303"
"Meerssen";"||Totaal binnenwater";"ha";"74"
"Meerssen";"||Totaal buitenwater";"ha";""
"Meijel";"Totale oppervlakte";"ha";""
"Meijel";"Totaal verkeersterrein";"ha";""
"Meijel";"||Totaal bebouwd terrein";"ha";""
"Meijel";"||Totaal semi-bebouwd terrein";"ha";""
"Meijel";"Bouwterrein";"ha";""
"Meijel";"||Totaal recreatieterrein";"ha";""
"Meijel";"||Totaal agrarisch terrein";"ha";""
"Meijel";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Meijel";"||Totaal binnenwater";"ha";""
"Meijel";"||Totaal buitenwater";"ha";""
"Menaldumadeel";"Totale oppervlakte";"ha";""
"Menaldumadeel";"Totaal verkeersterrein";"ha";""
"Menaldumadeel";"||Totaal bebouwd terrein";"ha";""
"Menaldumadeel";"||Totaal semi-bebouwd terrein";"ha";""
"Menaldumadeel";"Bouwterrein";"ha";""
"Menaldumadeel";"||Totaal recreatieterrein";"ha";""
"Menaldumadeel";"||Totaal agrarisch terrein";"ha";""
"Menaldumadeel";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Menaldumadeel";"||Totaal binnenwater";"ha";""
"Menaldumadeel";"||Totaal buitenwater";"ha";""
"Menameradiel";"Totale oppervlakte";"ha";"7003"
"Menameradiel";"Totaal verkeersterrein";"ha";"269"
"Menameradiel";"||Totaal bebouwd terrein";"ha";"394"
"Menameradiel";"||Totaal semi-bebouwd terrein";"ha";"58"
"Menameradiel";"Bouwterrein";"ha";"54"
"Menameradiel";"||Totaal recreatieterrein";"ha";"82"
"Menameradiel";"||Totaal agrarisch terrein";"ha";"6058"
"Menameradiel";"||Totaal  bos en open natuurlijk terrein";"ha";"22"
"Menameradiel";"||Totaal binnenwater";"ha";"121"
"Menameradiel";"||Totaal buitenwater";"ha";""
"Menterwolde";"Totale oppervlakte";"ha";"8162"
"Menterwolde";"Totaal verkeersterrein";"ha";"271"
"Menterwolde";"||Totaal bebouwd terrein";"ha";"410"
"Menterwolde";"||Totaal semi-bebouwd terrein";"ha";"203"
"Menterwolde";"Bouwterrein";"ha";"104"
"Menterwolde";"||Totaal recreatieterrein";"ha";"63"
"Menterwolde";"||Totaal agrarisch terrein";"ha";"6775"
"Menterwolde";"||Totaal  bos en open natuurlijk terrein";"ha";"298"
"Menterwolde";"||Totaal binnenwater";"ha";"142"
"Menterwolde";"||Totaal buitenwater";"ha";""
"Meppel";"Totale oppervlakte";"ha";"5703"
"Meppel";"Totaal verkeersterrein";"ha";"297"
"Meppel";"||Totaal bebouwd terrein";"ha";"876"
"Meppel";"||Totaal semi-bebouwd terrein";"ha";"103"
"Meppel";"Bouwterrein";"ha";"76"
"Meppel";"||Totaal recreatieterrein";"ha";"158"
"Meppel";"||Totaal agrarisch terrein";"ha";"3951"
"Meppel";"||Totaal  bos en open natuurlijk terrein";"ha";"168"
"Meppel";"||Totaal binnenwater";"ha";"150"
"Meppel";"||Totaal buitenwater";"ha";""
"Middelburg (Z.)";"Totale oppervlakte";"ha";"5304"
"Middelburg (Z.)";"Totaal verkeersterrein";"ha";"307"
"Middelburg (Z.)";"||Totaal bebouwd terrein";"ha";"1041"
"Middelburg (Z.)";"||Totaal semi-bebouwd terrein";"ha";"157"
"Middelburg (Z.)";"Bouwterrein";"ha";"139"
"Middelburg (Z.)";"||Totaal recreatieterrein";"ha";"292"
"Middelburg (Z.)";"||Totaal agrarisch terrein";"ha";"2864"
"Middelburg (Z.)";"||Totaal  bos en open natuurlijk terrein";"ha";"181"
"Middelburg (Z.)";"||Totaal binnenwater";"ha";"462"
"Middelburg (Z.)";"||Totaal buitenwater";"ha";""
"Middelharnis";"Totale oppervlakte";"ha";""
"Middelharnis";"Totaal verkeersterrein";"ha";""
"Middelharnis";"||Totaal bebouwd terrein";"ha";""
"Middelharnis";"||Totaal semi-bebouwd terrein";"ha";""
"Middelharnis";"Bouwterrein";"ha";""
"Middelharnis";"||Totaal recreatieterrein";"ha";""
"Middelharnis";"||Totaal agrarisch terrein";"ha";""
"Middelharnis";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Middelharnis";"||Totaal binnenwater";"ha";""
"Middelharnis";"||Totaal buitenwater";"ha";""
"Midden-Delfland";"Totale oppervlakte";"ha";"4938"
"Midden-Delfland";"Totaal verkeersterrein";"ha";"179"
"Midden-Delfland";"||Totaal bebouwd terrein";"ha";"316"
"Midden-Delfland";"||Totaal semi-bebouwd terrein";"ha";"130"
"Midden-Delfland";"Bouwterrein";"ha";"122"
"Midden-Delfland";"||Totaal recreatieterrein";"ha";"210"
"Midden-Delfland";"||Totaal agrarisch terrein";"ha";"3781"
"Midden-Delfland";"||Totaal  bos en open natuurlijk terrein";"ha";"103"
"Midden-Delfland";"||Totaal binnenwater";"ha";"219"
"Midden-Delfland";"||Totaal buitenwater";"ha";""
"Midden-Drenthe";"Totale oppervlakte";"ha";"34587"
"Midden-Drenthe";"Totaal verkeersterrein";"ha";"884"
"Midden-Drenthe";"||Totaal bebouwd terrein";"ha";"1134"
"Midden-Drenthe";"||Totaal semi-bebouwd terrein";"ha";"250"
"Midden-Drenthe";"Bouwterrein";"ha";"29"
"Midden-Drenthe";"||Totaal recreatieterrein";"ha";"435"
"Midden-Drenthe";"||Totaal agrarisch terrein";"ha";"25149"
"Midden-Drenthe";"||Totaal  bos en open natuurlijk terrein";"ha";"6199"
"Midden-Drenthe";"||Totaal binnenwater";"ha";"536"
"Midden-Drenthe";"||Totaal buitenwater";"ha";""
"Middenschouwen";"Totale oppervlakte";"ha";""
"Middenschouwen";"Totaal verkeersterrein";"ha";""
"Middenschouwen";"||Totaal bebouwd terrein";"ha";""
"Middenschouwen";"||Totaal semi-bebouwd terrein";"ha";""
"Middenschouwen";"Bouwterrein";"ha";""
"Middenschouwen";"||Totaal recreatieterrein";"ha";""
"Middenschouwen";"||Totaal agrarisch terrein";"ha";""
"Middenschouwen";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Middenschouwen";"||Totaal binnenwater";"ha";""
"Middenschouwen";"||Totaal buitenwater";"ha";""
"Middenveld";"Totale oppervlakte";"ha";""
"Middenveld";"Totaal verkeersterrein";"ha";""
"Middenveld";"||Totaal bebouwd terrein";"ha";""
"Middenveld";"||Totaal semi-bebouwd terrein";"ha";""
"Middenveld";"Bouwterrein";"ha";""
"Middenveld";"||Totaal recreatieterrein";"ha";""
"Middenveld";"||Totaal agrarisch terrein";"ha";""
"Middenveld";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Middenveld";"||Totaal binnenwater";"ha";""
"Middenveld";"||Totaal buitenwater";"ha";""
"Mierlo";"Totale oppervlakte";"ha";""
"Mierlo";"Totaal verkeersterrein";"ha";""
"Mierlo";"||Totaal bebouwd terrein";"ha";""
"Mierlo";"||Totaal semi-bebouwd terrein";"ha";""
"Mierlo";"Bouwterrein";"ha";""
"Mierlo";"||Totaal recreatieterrein";"ha";""
"Mierlo";"||Totaal agrarisch terrein";"ha";""
"Mierlo";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Mierlo";"||Totaal binnenwater";"ha";""
"Mierlo";"||Totaal buitenwater";"ha";""
"Mill en Sint Hubert";"Totale oppervlakte";"ha";"5317"
"Mill en Sint Hubert";"Totaal verkeersterrein";"ha";"130"
"Mill en Sint Hubert";"||Totaal bebouwd terrein";"ha";"318"
"Mill en Sint Hubert";"||Totaal semi-bebouwd terrein";"ha";"43"
"Mill en Sint Hubert";"Bouwterrein";"ha";"10"
"Mill en Sint Hubert";"||Totaal recreatieterrein";"ha";"57"
"Mill en Sint Hubert";"||Totaal agrarisch terrein";"ha";"3832"
"Mill en Sint Hubert";"||Totaal  bos en open natuurlijk terrein";"ha";"842"
"Mill en Sint Hubert";"||Totaal binnenwater";"ha";"95"
"Mill en Sint Hubert";"||Totaal buitenwater";"ha";""
"Millingen aan de Rijn";"Totale oppervlakte";"ha";""
"Millingen aan de Rijn";"Totaal verkeersterrein";"ha";""
"Millingen aan de Rijn";"||Totaal bebouwd terrein";"ha";""
"Millingen aan de Rijn";"||Totaal semi-bebouwd terrein";"ha";""
"Millingen aan de Rijn";"Bouwterrein";"ha";""
"Millingen aan de Rijn";"||Totaal recreatieterrein";"ha";""
"Millingen aan de Rijn";"||Totaal agrarisch terrein";"ha";""
"Millingen aan de Rijn";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Millingen aan de Rijn";"||Totaal binnenwater";"ha";""
"Millingen aan de Rijn";"||Totaal buitenwater";"ha";""
"Moerdijk";"Totale oppervlakte";"ha";"18403"
"Moerdijk";"Totaal verkeersterrein";"ha";"945"
"Moerdijk";"||Totaal bebouwd terrein";"ha";"1923"
"Moerdijk";"||Totaal semi-bebouwd terrein";"ha";"547"
"Moerdijk";"Bouwterrein";"ha";"442"
"Moerdijk";"||Totaal recreatieterrein";"ha";"311"
"Moerdijk";"||Totaal agrarisch terrein";"ha";"11595"
"Moerdijk";"||Totaal  bos en open natuurlijk terrein";"ha";"593"
"Moerdijk";"||Totaal binnenwater";"ha";"2488"
"Moerdijk";"||Totaal buitenwater";"ha";""
"Moergestel";"Totale oppervlakte";"ha";""
"Moergestel";"Totaal verkeersterrein";"ha";""
"Moergestel";"||Totaal bebouwd terrein";"ha";""
"Moergestel";"||Totaal semi-bebouwd terrein";"ha";""
"Moergestel";"Bouwterrein";"ha";""
"Moergestel";"||Totaal recreatieterrein";"ha";""
"Moergestel";"||Totaal agrarisch terrein";"ha";""
"Moergestel";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Moergestel";"||Totaal binnenwater";"ha";""
"Moergestel";"||Totaal buitenwater";"ha";""
"Molenwaard";"Totale oppervlakte";"ha";"12648"
"Molenwaard";"Totaal verkeersterrein";"ha";"275"
"Molenwaard";"||Totaal bebouwd terrein";"ha";"591"
"Molenwaard";"||Totaal semi-bebouwd terrein";"ha";"74"
"Molenwaard";"Bouwterrein";"ha";"40"
"Molenwaard";"||Totaal recreatieterrein";"ha";"89"
"Molenwaard";"||Totaal agrarisch terrein";"ha";"10492"
"Molenwaard";"||Totaal  bos en open natuurlijk terrein";"ha";"300"
"Molenwaard";"||Totaal binnenwater";"ha";"826"
"Molenwaard";"||Totaal buitenwater";"ha";""
"Monster";"Totale oppervlakte";"ha";""
"Monster";"Totaal verkeersterrein";"ha";""
"Monster";"||Totaal bebouwd terrein";"ha";""
"Monster";"||Totaal semi-bebouwd terrein";"ha";""
"Monster";"Bouwterrein";"ha";""
"Monster";"||Totaal recreatieterrein";"ha";""
"Monster";"||Totaal agrarisch terrein";"ha";""
"Monster";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Monster";"||Totaal binnenwater";"ha";""
"Monster";"||Totaal buitenwater";"ha";""
"Montferland";"Totale oppervlakte";"ha";"10664"
"Montferland";"Totaal verkeersterrein";"ha";"296"
"Montferland";"||Totaal bebouwd terrein";"ha";"867"
"Montferland";"||Totaal semi-bebouwd terrein";"ha";"32"
"Montferland";"Bouwterrein";"ha";"24"
"Montferland";"||Totaal recreatieterrein";"ha";"166"
"Montferland";"||Totaal agrarisch terrein";"ha";"7384"
"Montferland";"||Totaal  bos en open natuurlijk terrein";"ha";"1825"
"Montferland";"||Totaal binnenwater";"ha";"94"
"Montferland";"||Totaal buitenwater";"ha";""
"Montfoort";"Totale oppervlakte";"ha";"3820"
"Montfoort";"Totaal verkeersterrein";"ha";"62"
"Montfoort";"||Totaal bebouwd terrein";"ha";"282"
"Montfoort";"||Totaal semi-bebouwd terrein";"ha";"12"
"Montfoort";"Bouwterrein";"ha";"8"
"Montfoort";"||Totaal recreatieterrein";"ha";"37"
"Montfoort";"||Totaal agrarisch terrein";"ha";"3285"
"Montfoort";"||Totaal  bos en open natuurlijk terrein";"ha";"80"
"Montfoort";"||Totaal binnenwater";"ha";"63"
"Montfoort";"||Totaal buitenwater";"ha";""
"Mook en Middelaar";"Totale oppervlakte";"ha";"1881"
"Mook en Middelaar";"Totaal verkeersterrein";"ha";"52"
"Mook en Middelaar";"||Totaal bebouwd terrein";"ha";"234"
"Mook en Middelaar";"||Totaal semi-bebouwd terrein";"ha";"3"
"Mook en Middelaar";"Bouwterrein";"ha";"0"
"Mook en Middelaar";"||Totaal recreatieterrein";"ha";"71"
"Mook en Middelaar";"||Totaal agrarisch terrein";"ha";"710"
"Mook en Middelaar";"||Totaal  bos en open natuurlijk terrein";"ha";"669"
"Mook en Middelaar";"||Totaal binnenwater";"ha";"143"
"Mook en Middelaar";"||Totaal buitenwater";"ha";""
"Moordrecht";"Totale oppervlakte";"ha";""
"Moordrecht";"Totaal verkeersterrein";"ha";""
"Moordrecht";"||Totaal bebouwd terrein";"ha";""
"Moordrecht";"||Totaal semi-bebouwd terrein";"ha";""
"Moordrecht";"Bouwterrein";"ha";""
"Moordrecht";"||Totaal recreatieterrein";"ha";""
"Moordrecht";"||Totaal agrarisch terrein";"ha";""
"Moordrecht";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Moordrecht";"||Totaal binnenwater";"ha";""
"Moordrecht";"||Totaal buitenwater";"ha";""
"Muiden";"Totale oppervlakte";"ha";"3649"
"Muiden";"Totaal verkeersterrein";"ha";"118"
"Muiden";"||Totaal bebouwd terrein";"ha";"131"
"Muiden";"||Totaal semi-bebouwd terrein";"ha";"197"
"Muiden";"Bouwterrein";"ha";"175"
"Muiden";"||Totaal recreatieterrein";"ha";"40"
"Muiden";"||Totaal agrarisch terrein";"ha";"801"
"Muiden";"||Totaal  bos en open natuurlijk terrein";"ha";"156"
"Muiden";"||Totaal binnenwater";"ha";"2205"
"Muiden";"||Totaal buitenwater";"ha";""
"Naaldwijk";"Totale oppervlakte";"ha";""
"Naaldwijk";"Totaal verkeersterrein";"ha";""
"Naaldwijk";"||Totaal bebouwd terrein";"ha";""
"Naaldwijk";"||Totaal semi-bebouwd terrein";"ha";""
"Naaldwijk";"Bouwterrein";"ha";""
"Naaldwijk";"||Totaal recreatieterrein";"ha";""
"Naaldwijk";"||Totaal agrarisch terrein";"ha";""
"Naaldwijk";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Naaldwijk";"||Totaal binnenwater";"ha";""
"Naaldwijk";"||Totaal buitenwater";"ha";""
"Naarden";"Totale oppervlakte";"ha";"3290"
"Naarden";"Totaal verkeersterrein";"ha";"135"
"Naarden";"||Totaal bebouwd terrein";"ha";"397"
"Naarden";"||Totaal semi-bebouwd terrein";"ha";"25"
"Naarden";"Bouwterrein";"ha";"22"
"Naarden";"||Totaal recreatieterrein";"ha";"207"
"Naarden";"||Totaal agrarisch terrein";"ha";"655"
"Naarden";"||Totaal  bos en open natuurlijk terrein";"ha";"721"
"Naarden";"||Totaal binnenwater";"ha";"1151"
"Naarden";"||Totaal buitenwater";"ha";""
"Neder-Betuwe";"Totale oppervlakte";"ha";"6746"
"Neder-Betuwe";"Totaal verkeersterrein";"ha";"382"
"Neder-Betuwe";"||Totaal bebouwd terrein";"ha";"580"
"Neder-Betuwe";"||Totaal semi-bebouwd terrein";"ha";"75"
"Neder-Betuwe";"Bouwterrein";"ha";"39"
"Neder-Betuwe";"||Totaal recreatieterrein";"ha";"89"
"Neder-Betuwe";"||Totaal agrarisch terrein";"ha";"4771"
"Neder-Betuwe";"||Totaal  bos en open natuurlijk terrein";"ha";"99"
"Neder-Betuwe";"||Totaal binnenwater";"ha";"749"
"Neder-Betuwe";"||Totaal buitenwater";"ha";""
"Nederhorst den Berg";"Totale oppervlakte";"ha";""
"Nederhorst den Berg";"Totaal verkeersterrein";"ha";""
"Nederhorst den Berg";"||Totaal bebouwd terrein";"ha";""
"Nederhorst den Berg";"||Totaal semi-bebouwd terrein";"ha";""
"Nederhorst den Berg";"Bouwterrein";"ha";""
"Nederhorst den Berg";"||Totaal recreatieterrein";"ha";""
"Nederhorst den Berg";"||Totaal agrarisch terrein";"ha";""
"Nederhorst den Berg";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Nederhorst den Berg";"||Totaal binnenwater";"ha";""
"Nederhorst den Berg";"||Totaal buitenwater";"ha";""
"Nederlek";"Totale oppervlakte";"ha";""
"Nederlek";"Totaal verkeersterrein";"ha";""
"Nederlek";"||Totaal bebouwd terrein";"ha";""
"Nederlek";"||Totaal semi-bebouwd terrein";"ha";""
"Nederlek";"Bouwterrein";"ha";""
"Nederlek";"||Totaal recreatieterrein";"ha";""
"Nederlek";"||Totaal agrarisch terrein";"ha";""
"Nederlek";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Nederlek";"||Totaal binnenwater";"ha";""
"Nederlek";"||Totaal buitenwater";"ha";""
"Nederweert";"Totale oppervlakte";"ha";"10178"
"Nederweert";"Totaal verkeersterrein";"ha";"269"
"Nederweert";"||Totaal bebouwd terrein";"ha";"450"
"Nederweert";"||Totaal semi-bebouwd terrein";"ha";"105"
"Nederweert";"Bouwterrein";"ha";"98"
"Nederweert";"||Totaal recreatieterrein";"ha";"53"
"Nederweert";"||Totaal agrarisch terrein";"ha";"7333"
"Nederweert";"||Totaal  bos en open natuurlijk terrein";"ha";"1788"
"Nederweert";"||Totaal binnenwater";"ha";"180"
"Nederweert";"||Totaal buitenwater";"ha";""
"Neede";"Totale oppervlakte";"ha";""
"Neede";"Totaal verkeersterrein";"ha";""
"Neede";"||Totaal bebouwd terrein";"ha";""
"Neede";"||Totaal semi-bebouwd terrein";"ha";""
"Neede";"Bouwterrein";"ha";""
"Neede";"||Totaal recreatieterrein";"ha";""
"Neede";"||Totaal agrarisch terrein";"ha";""
"Neede";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Neede";"||Totaal binnenwater";"ha";""
"Neede";"||Totaal buitenwater";"ha";""
"Neerijnen";"Totale oppervlakte";"ha";"7290"
"Neerijnen";"Totaal verkeersterrein";"ha";"230"
"Neerijnen";"||Totaal bebouwd terrein";"ha";"348"
"Neerijnen";"||Totaal semi-bebouwd terrein";"ha";"42"
"Neerijnen";"Bouwterrein";"ha";"17"
"Neerijnen";"||Totaal recreatieterrein";"ha";"24"
"Neerijnen";"||Totaal agrarisch terrein";"ha";"5674"
"Neerijnen";"||Totaal  bos en open natuurlijk terrein";"ha";"276"
"Neerijnen";"||Totaal binnenwater";"ha";"694"
"Neerijnen";"||Totaal buitenwater";"ha";""
"Niedorp";"Totale oppervlakte";"ha";""
"Niedorp";"Totaal verkeersterrein";"ha";""
"Niedorp";"||Totaal bebouwd terrein";"ha";""
"Niedorp";"||Totaal semi-bebouwd terrein";"ha";""
"Niedorp";"Bouwterrein";"ha";""
"Niedorp";"||Totaal recreatieterrein";"ha";""
"Niedorp";"||Totaal agrarisch terrein";"ha";""
"Niedorp";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Niedorp";"||Totaal binnenwater";"ha";""
"Niedorp";"||Totaal buitenwater";"ha";""
"Nieuwegein";"Totale oppervlakte";"ha";"2565"
"Nieuwegein";"Totaal verkeersterrein";"ha";"212"
"Nieuwegein";"||Totaal bebouwd terrein";"ha";"1204"
"Nieuwegein";"||Totaal semi-bebouwd terrein";"ha";"141"
"Nieuwegein";"Bouwterrein";"ha";"130"
"Nieuwegein";"||Totaal recreatieterrein";"ha";"369"
"Nieuwegein";"||Totaal agrarisch terrein";"ha";"332"
"Nieuwegein";"||Totaal  bos en open natuurlijk terrein";"ha";"92"
"Nieuwegein";"||Totaal binnenwater";"ha";"214"
"Nieuwegein";"||Totaal buitenwater";"ha";""
"Nieuwerkerk aan den IJssel";"Totale oppervlakte";"ha";""
"Nieuwerkerk aan den IJssel";"Totaal verkeersterrein";"ha";""
"Nieuwerkerk aan den IJssel";"||Totaal bebouwd terrein";"ha";""
"Nieuwerkerk aan den IJssel";"||Totaal semi-bebouwd terrein";"ha";""
"Nieuwerkerk aan den IJssel";"Bouwterrein";"ha";""
"Nieuwerkerk aan den IJssel";"||Totaal recreatieterrein";"ha";""
"Nieuwerkerk aan den IJssel";"||Totaal agrarisch terrein";"ha";""
"Nieuwerkerk aan den IJssel";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Nieuwerkerk aan den IJssel";"||Totaal binnenwater";"ha";""
"Nieuwerkerk aan den IJssel";"||Totaal buitenwater";"ha";""
"Nieuw-Ginneken";"Totale oppervlakte";"ha";""
"Nieuw-Ginneken";"Totaal verkeersterrein";"ha";""
"Nieuw-Ginneken";"||Totaal bebouwd terrein";"ha";""
"Nieuw-Ginneken";"||Totaal semi-bebouwd terrein";"ha";""
"Nieuw-Ginneken";"Bouwterrein";"ha";""
"Nieuw-Ginneken";"||Totaal recreatieterrein";"ha";""
"Nieuw-Ginneken";"||Totaal agrarisch terrein";"ha";""
"Nieuw-Ginneken";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Nieuw-Ginneken";"||Totaal binnenwater";"ha";""
"Nieuw-Ginneken";"||Totaal buitenwater";"ha";""
"Nieuwkoop";"Totale oppervlakte";"ha";"9116"
"Nieuwkoop";"Totaal verkeersterrein";"ha";"168"
"Nieuwkoop";"||Totaal bebouwd terrein";"ha";"562"
"Nieuwkoop";"||Totaal semi-bebouwd terrein";"ha";"50"
"Nieuwkoop";"Bouwterrein";"ha";"46"
"Nieuwkoop";"||Totaal recreatieterrein";"ha";"186"
