"Bodemgebruik; uitgebreide gebruiksvorm, per gemeente"
""
"";"";"";"Perioden"
"Aa en Hunze";"Bouwterrein";"ha";"65"
"Aa en Hunze";"||Totaal recreatieterrein";"ha";"544"
"Aa en Hunze";"||Totaal agrarisch terrein";"ha";"18751"
"Aa en Hunze";"||Totaal  bos en open natuurlijk terrein";"ha";"6605"
"Aa en Hunze";"||Totaal binnenwater";"ha";"279"
"Aa en Hunze";"||Totaal buitenwater";"ha";""
"Aalburg";"Totale oppervlakte";"ha";"5317"
"Aalburg";"Totaal verkeersterrein";"ha";"150"
"Aalburg";"||Totaal bebouwd terrein";"ha";"320"
"Aalburg";"||Totaal semi-bebouwd terrein";"ha";"44"
"Aalburg";"Bouwterrein";"ha";"35"
"Aalburg";"||Totaal recreatieterrein";"ha";"44"
"Aalburg";"||Totaal agrarisch terrein";"ha";"4335"
"Aalburg";"||Totaal  bos en open natuurlijk terrein";"ha";"148"
"Aalburg";"||Totaal binnenwater";"ha";"277"
"Aalburg";"||Totaal buitenwater";"ha";""
"Aalsmeer";"Totale oppervlakte";"ha";"3229"
"Aalsmeer";"Totaal verkeersterrein";"ha";"90"
"Aalsmeer";"||Totaal bebouwd terrein";"ha";"760"
"Aalsmeer";"||Totaal semi-bebouwd terrein";"ha";"57"
"Aalsmeer";"Bouwterrein";"ha";"53"
"Aalsmeer";"||Totaal recreatieterrein";"ha";"168"
"Aalsmeer";"||Totaal agrarisch terrein";"ha";"799"
"Aalsmeer";"||Totaal  bos en open natuurlijk terrein";"ha";"138"
"Aalsmeer";"||Totaal binnenwater";"ha";"1217"
"Aalsmeer";"||Totaal buitenwater";"ha";""
"Aalten";"Totale oppervlakte";"ha";"9705"
"Aalten";"Totaal verkeersterrein";"ha";"300"
"Aalten";"||Totaal bebouwd terrein";"ha";"672"
"Aalten";"||Totaal semi-bebouwd terrein";"ha";"35"
"Aalten";"Bouwterrein";"ha";"20"
"Aalten";"||Totaal recreatieterrein";"ha";"167"
"Aalten";"||Totaal agrarisch terrein";"ha";"8063"
"Aalten";"||Totaal  bos en open natuurlijk terrein";"ha";"416"
"Aalten";"||Totaal binnenwater";"ha";"52"
"Aalten";"||Totaal buitenwater";"ha";""
"Ter Aar";"Totale oppervlakte";"ha";""
"Ter Aar";"Totaal verkeersterrein";"ha";""
"Ter Aar";"||Totaal bebouwd terrein";"ha";""
"Ter Aar";"||Totaal semi-bebouwd terrein";"ha";""
"Ter Aar";"Bouwterrein";"ha";""
"Ter Aar";"||Totaal recreatieterrein";"ha";""
"Ter Aar";"||Totaal agrarisch terrein";"ha";""
"Ter Aar";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Ter Aar";"||Totaal binnenwater";"ha";""
"Ter Aar";"||Totaal buitenwater";"ha";""
"Aarle-Rixtel";"Totale oppervlakte";"ha";""
"Aarle-Rixtel";"Totaal verkeersterrein";"ha";""
"Aarle-Rixtel";"||Totaal bebouwd terrein";"ha";""
"Aarle-Rixtel";"||Totaal semi-bebouwd terrein";"ha";""
"Aarle-Rixtel";"Bouwterrein";"ha";""
"Aarle-Rixtel";"||Totaal recreatieterrein";"ha";""
"Aarle-Rixtel";"||Totaal agrarisch terrein";"ha";""
"Aarle-Rixtel";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Aarle-Rixtel";"||Totaal binnenwater";"ha";""
"Aarle-Rixtel";"||Totaal buitenwater";"ha";""
"Abcoude";"Totale oppervlakte";"ha";""
"Abcoude";"Totaal verkeersterrein";"ha";""
"Abcoude";"||Totaal bebouwd terrein";"ha";""
"Abcoude";"||Totaal semi-bebouwd terrein";"ha";""
"Abcoude";"Bouwterrein";"ha";""
"Abcoude";"||Totaal recreatieterrein";"ha";""
