Code,Gemeentena,GM_Code,Shape__Are,Shape__Len,Res_regio,Rescode
0402,Hilversum,GM0402,46348607.54649999738,45018.29890730000,Regio Noord-Holland Zuid,RES016
0400,Den Helder,GM0400,178799882.95500001311,60563.48919950000,Regio Noord-Holland Noord,RES018
0141,Almelo,GM0141,69406297.04670000076,44126.16733600000,Regio Twente,RES025
0715,Terneuzen,GM0715,317755749.84100002050,100075.98821900001,Regio Zeeland,RES029
0216,Culemborg,GM0216,31143693.71629999951,29338.88443420000,Regio Rivierenland (Fruitdelta),RES022
1714,Sluis,GM1714,307164052.76800000668,98511.38372509999,Regio Zeeland,RES029
1680,Aa en Hunze,GM1680,278874903.47699999809,92666.91956390000,Regio Drenthe,RES006
0377,Bloemendaal,GM0377,45227553.06360000372,45671.85734700000,Regio Noord-Holland Zuid,RES016
0848,Son en Breugel,GM0848,26506821.57620000094,28176.76083570000,Metropoolregio Eindhoven,RES017
0398,Heerhugowaard,GM0398,39991607.78180000186,34921.72125220000,Regio Noord-Holland Noord,RES018
0809,Loon op Zand,GM0809,50711553.87619999796,33680.24056700000,Regio Hart van Brabant,RES011
0299,Zevenaar,GM0299,106104359.42599999905,86263.22716850000,Regio Arnhem-Nijmegen,RES003
0502,Capelle aan den IJssel,GM0502,15399973.48540000059,24960.12026870000,Regio Rotterdam-Den Haag,RES023
0736,De Ronde Venen,GM0736,116979238.07899999619,56851.88622140000,Regio U16/U10,RES026
1940,De Fryske Marren,GM1940,549103150.89600002766,143332.38579199999,Regio Friesland,RES009
0772,Eindhoven,GM0772,88915366.82140000165,50128.12447340000,Metropoolregio Eindhoven,RES017
0356,Nieuwegein,GM0356,25646426.54450000077,24013.05706990000,Regio U16/U10,RES026
0861,Veldhoven,GM0861,31885479.43719999865,29496.46597750000,Metropoolregio Eindhoven,RES017
0613,Albrandswaard,GM0613,23755796.75090000033,21739.71392390000,Regio Rotterdam-Den Haag,RES023
0355,Zeist,GM0355,48650812.05830000341,44541.18649650000,Regio U16/U10,RES026
0147,Borne,GM0147,26164536.55999999866,25580.81246670000,Regio Twente,RES025
0376,Blaricum,GM0376,15562768.92720000073,25177.22898650000,Regio Noord-Holland Zuid,RES016
0388,Enkhuizen,GM0388,116246507.12299999595,50990.95784380000,Regio Noord-Holland Noord,RES018
0505,Dordrecht,GM0505,99467484.17200000584,52356.86832150000,Regio Drechtsteden,RES005
1916,Leidschendam-Voorburg,GM1916,35618150.69020000100,36824.53220400000,Regio Rotterdam-Den Haag,RES023
0080,Leeuwarden,GM0080,255619632.13299998641,127294.90310700001,Regio Friesland,RES009
0852,Waterland,GM0852,115661251.53900000453,54807.46591450000,Regio Noord-Holland Zuid,RES016
0531,Hendrik-Ido-Ambacht,GM0531,11900762.58579999954,18682.43055340000,Regio Drechtsteden,RES005
0855,Tilburg,GM0855,118128615.62700000405,63100.78944630000,Regio Hart van Brabant,RES011
1658,Heeze-Leende,GM1658,105044830.44400000572,51001.18972180000,Metropoolregio Eindhoven,RES017
0610,Sliedrecht,GM0610,14014161.83929999918,16189.38116680000,Regio Drechtsteden,RES005
0765,Pekela,GM0765,50204905.52459999919,35590.71135210000,Regio Groningen,RES012
0303,Dronten,GM0303,423894659.12800002098,103504.03296500001,Regio Flevoland,RES007
1705,Lingewaard,GM1705,69142789.54129999876,45530.32932520000,Regio Arnhem-Nijmegen,RES003
0988,Weert,GM0988,105535697.46299999952,50234.98869070000,Regio Noord- en Midden Limburg,RES019
0375,Beverwijk,GM0375,20086770.59939999878,28096.94327210000,Regio Noord-Holland Zuid,RES016
